server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"eng-USA","calculator","QuickDialog","fb76afc2d47f725db76f708d92ed38cb0c506ded"
"yue-CHN","chatbot20","QuickDialog","6b328264d9bdf0a25a168ce44029a9ca522f31fc"
"eng-GBR","sport","QuickDialog","9aa64c8165355d0a6ed081a677af53f8b86f0641"
"tur-TUR","selfntg6x2","QuickNLU","091c74715fe85f6b13cf1655a2d3e224d927f583"
"jpn-JPN","selfntg6","QuickNLU","c69ae0cc718de4fdd52542702fd67bb0e00d74c2"
"eng-IND","chatbot","QuickDialog","fb306b4eab4618416ff408b03be80bd775099ad3"
"nld-NLD","sonicdaimler","QuickNLU","a747a051485f9bd2ceb06a7ebf78b2490919d8c4"
"rus-RUS","selfntg6x2","QuickNLU","9085588554490d6627e8b5a971018b8d9081d318"
"ita-ITA","selfntg6","QuickNLU","ef7b54837c0a5d52e781c74eb6ba991cb21c5162"
"por-BRA","selfntg6x2","QuickNLU","fce12a5b21f5afe23e4079303b0699d3b1ed8da1"
"deu-DEU","cityevent20","QuickDialog","2433ddf91a87ace0fef730aa5012912cd0da6e4c"
"jpn-JPN","sonicdaimler","QuickNLU","ed77e8206369a6e3ca166a0b5775759c06d03a37"
"por-PRT","sonicdaimler","QuickNLU","d3424cf5a93ab5b3e0adbf7049e2da9daafc46f5"
"ita-ITA","chatbot20","QuickDialog","baaa12743f88048fe78c2f7392796793327a2554"
"jpn-JPN","ico","QuickDialog","1e1b62cf0518075529a2f0a3d320987be59b3b6a"
"eng-GBR","horoscope20","QuickDialog","185463a0585b7a7b874f9b7919f7833b756eef93"
"deu-DEU","selfnlps","QuickNLU","47acfdb751b107be075f64eaf84028e0caf31423"
"eng-GBR","selfntg6","QuickNLU","dfd9755a5bc03a02cb770e7282165dbf82d1690b"
"eng-GBR","selfntg6","QuickDialog","d336c0e3e8fab8deeb3c5265663234bb2ae7fc72"
"eng-GBR","selfntg6","QuickASR","d1ab7de71cca1eb452ac2af5ac0aeb58d26bbd9f"
"eng-GBR","stocks","QuickDialog","4d2fb5eb1f8e3fb59ba4d820981870b1ea17d7e9"
"nld-NLD","sonicdmlr2","QuickNLU","306d4289783af74367fd1ec6c34d486b060cb2da"
"eng-AUS","chatbot20","QuickDialog","a2000af925a3b04819f1b5835cf95b14ed00d90c"
"spa-XLA","selfntg6","QuickNLU","96b96bcfa9468e1cca646e4f07a5bba6a8bbce18"
"eng-USA","publicholidays","QuickDialog","7847d99d9ce13a3d25d38741b62d1aa0c12ae546"
"fra-FRA","ico","QuickDialog","d707ad4719c58b41cf663763835e286f96a28fef"
"fra-CAN","sonicdaimler","QuickNLU","0ceb3191fd12e9d14d100ca39a7011dd816a0ee7"
"rus-RUS","chatbot20","QuickDialog","893e81156e74b62d131f63d8440b4544e8423cee"
"eng-GBR","unitconverter20","QuickDialog","ae523876acdc01bdda5132a9207a47f0829f9f04"

